IID	pwm	Domain_EnsPID	Interaction_EnsPID	Start	End	Score	Type
47365	ABL1	ENSP00000361423	ENSP00000453427	710	724	0.9	MT
47366	ABL1	ENSP00000361423	ENSP00000358106	64	78	0.89	MT
47367	ABL1	ENSP00000361423	ENSP00000441463	10	24	0.92	MT
47368	ABL1	ENSP00000361423	ENSP00000295723	1284	1298	0.11	MT
47369	ABL1	ENSP00000361423	ENSP00000364526	333	347	0.93	MT
47370	ABL1	ENSP00000361423	ENSP00000354522	118	132	0.91	MT
47371	ABL1	ENSP00000361423	ENSP00000381170	196	210	0.89	MT
47372	ABL1	ENSP00000361423	ENSP00000465766	1562	1576	0.9	MT
47373	ABL1	ENSP00000361423	ENSP00000376946	529	543	0.89	MT
47374	ABL1	ENSP00000361423	ENSP00000224950	171	185	0.92	MT
47375	ABL1	ENSP00000361423	ENSP00000206249	212	226	0.92	MT
47376	ABL1	ENSP00000361423	ENSP00000460660	233	247	0.93	MT
47377	ABL1	ENSP00000361423	ENSP00000301532	254	268	0.9	MT
47378	ABL1	ENSP00000361423	ENSP00000453427	710	724	0.9	MT
47379	ABL1	ENSP00000361423	ENSP00000367813	411	425	0.08	MT
47380	ABL1	ENSP00000361423	ENSP00000424693	313	327	0.07	MT
47381	ABL1	ENSP00000361423	ENSP00000391514	527	541	0.35	MT
47382	ABL1	ENSP00000361423	ENSP00000356480	113	127	0.08	MT
47383	ABL1	ENSP00000361423	ENSP00000455219	91	105	0.9	MT
47384	ABL1	ENSP00000361423	ENSP00000425648	1011	1025	0.9	MT
47385	ABL1	ENSP00000361423	ENSP00000463427	1189	1203	0.93	MT
47386	ABL1	ENSP00000361423	ENSP00000299300	290	304	0.9	MT
47387	ABL1	ENSP00000361423	ENSP00000475939	4418	4432	0.91	MT
47388	ABL1	ENSP00000361423	ENSP00000409279	648	662	0.89	MT
47389	ABL1	ENSP00000361423	ENSP00000314949	611	625	0.1	MT
47390	ABL1	ENSP00000361423	ENSP00000249837	299	313	0.91	MT
47391	ABL1	ENSP00000361423	ENSP00000402499	316	330	0.06	MT
47393	ABL1	ENSP00000361423	ENSP00000466331	171	185	0.91	MT
47394	ABL1	ENSP00000361423	ENSP00000355502	170	184	0.91	MT
47395	ABL1	ENSP00000361423	ENSP00000412356	371	385	0.92	MT
47396	ABL1	ENSP00000361423	ENSP00000366936	239	253	0.92	MT
47397	ABL1	ENSP00000361423	ENSP00000375613	NA	NA	0.1	MT
47398	ABL1	ENSP00000361423	ENSP00000385552	1079	1093	0.89	MT
47399	ABL1	ENSP00000361423	ENSP00000463307	1424	1438	0.91	MT
47400	ABL1	ENSP00000361423	ENSP00000387916	453	467	0.9	MT
47401	ABL1	ENSP00000361423	ENSP00000344757	178	192	0.07	MT
47402	ABL1	ENSP00000361423	ENSP00000388400	163	177	0.08	MT
47403	ABL1	ENSP00000361423	ENSP00000383157	155	169	0.9	MT
47404	ABL1	ENSP00000361423	ENSP00000407083	313	327	0.07	MT
47405	ABL1	ENSP00000361423	ENSP00000397297	105	119	0.9	MT
47406	ABL1	ENSP00000361423	ENSP00000221476	133	147	0.9	MT
47407	ABL1	ENSP00000361423	ENSP00000440343	1310	1324	0.91	MT
47408	ABL1	ENSP00000361423	ENSP00000267584	383	397	0.04	MT
47409	ABL1	ENSP00000361423	ENSP00000387016	391	405	0.91	MT
47410	ABL1	ENSP00000361423	ENSP00000296641	217	231	0.87	MT
47411	ABL1	ENSP00000361423	ENSP00000404832	62	76	0.11	MT
47412	ABL1	ENSP00000361423	ENSP00000367465	277	291	0.08	MT
47413	ABL1	ENSP00000361423	ENSP00000366799	247	261	0.9	MT
47414	ABL1	ENSP00000361423	ENSP00000410195	324	338	0.91	MT
47415	ABL1	ENSP00000361423	ENSP00000252510	457	471	0.9	MT
47416	ABL1	ENSP00000361423	ENSP00000399926	595	609	0.91	MT
47417	ABL1	ENSP00000361423	ENSP00000374253	336	350	0.92	MT
47418	ABL1	ENSP00000361423	ENSP00000361309	61	75	0.87	MT
47419	ABL1	ENSP00000361423	ENSP00000376425	2041	2055	0.92	MT
47420	ABL1	ENSP00000361423	ENSP00000441354	251	265	0.94	MT
